"doc_id","sentence_id","word","brand"
53,7,"time","bj"
53,7,"find","bj"
53,7,"end","bj"
53,7,"pint","bj"
53,8,"container","bj"
53,9,"bring","bj"
53,9,"back","bj"
54,1,"enjoy","bj"
54,1,"flavor","bj"
54,2,"expect","bj"
54,3,"label","bj"
54,3,"read","bj"
54,3,"expect","bj"
54,3,"top","bj"
54,3,"bottom","bj"
54,5,"like","bj"
54,5,"apple","bj"
54,5,"middle","bj"
54,5,"top","bj"
54,5,"bottom","bj"
54,6,"center","bj"
54,6,"thing","bj"
55,1,"taste","bj"
55,1,"like","bj"
55,1,"salty","bj"
55,1,"death","bj"
55,2,"poisoning","bj"
55,2,"bite","bj"
55,3,"gross","bj"
55,3,"heck","bj"
55,4,"like","bj"
55,4,"people","bj"
55,5,"pass","bj"
55,5,"taste","bj"
55,5,"test","bj"
55,6,"tongue","bj"
55,6,"blind","bj"
56,1,"find","bj"
56,1,"shortly","bj"
56,1,"discover","bj"
56,2,"needless","bj"
56,2,"fall","bj"
56,2,"love","bj"
56,3,"flavor","bj"
56,3,"amazing","bj"
56,3,"gooey","bj"
56,3,"blondie","bj"
56,3,"perfect","bj"
56,5,"pints","bj"
56,5,"buy","bj"
56,5,"fall","bj"
56,5,"short","bj"
56,6,"stop","bj"
56,6,"halfway","bj"
56,6,"pocket","bj"
56,6,"air","bj"
56,6,"bottom","bj"
56,8,"leave","bj"
56,8,"unhappy","bj"
57,1,"care","bj"
57,2,"miss","bj"
57,3,"like","bj"
57,4,"like","bj"
58,1,"sweet","bj"
58,1,"blondie","bj"
58,1,"delicious","bj"
58,1,"salty","bj"
58,1,"eat","bj"
58,2,"taste","bj"
58,2,"completely","bj"
58,2,"overpower","bj"
58,2,"flavor","bj"
59,1,"taste","bj"
59,1,"like","bj"
59,1,"flavour","bj"
59,2,"floury","bj"
59,2,"blonde","bj"
59,2,"piece","bj"
59,2,"taste","bj"
59,3,"bad","bj"
59,3,"flavour","bj"
59,4,"disappointed","bj"
60,1,"purchase","bj"
60,1,"flavor","bj"
60,1,"lot","bj"
60,2,"honestly","bj"
60,3,"live","bj"
60,4,"recently","bj"
60,4,"punt","bj"
60,4,"lack","bj"
60,4,"bottom","bj"
60,4,"pint","bj"
60,4,"blondie","bj"
60,4,"miss","bj"
60,5,"like","bj"
60,5,"spoon","bj"
60,5,"piece","bj"
60,5,"blondie","bj"
60,6,"like","bj"
60,6,"live","bj"
60,6,"flavor","bj"
60,7,"hope","bj"
60,7,"manufacturing","bj"
60,7,"back","bj"
60,7,"find","bj"
60,7,"flavor","bj"
60,7,"fall","bj"
60,7,"love","bj"
61,1,"disappointingly","bj"
61,1,"tasteless","bj"
61,3,"salty","bj"
61,3,"intense","bj"
61,3,"swirl","bj"
61,4,"bite","bj"
62,1,"love","bj"
62,3,"overwhelmingly","bj"
62,3,"salty","bj"
62,4,"eat","bj"
63,1,"forward","bj"
63,1,"flavor","bj"
63,1,"find","bj"
63,1,"salty","bj"
63,1,"ocean","bj"
63,2,"love","bj"
63,2,"bad","bj"
64,1,"typically","bj"
64,1,"love","bj"
64,1,"dessert","bj"
64,1,"general","bj"
64,1,"eager","bj"
64,2,"knock","bj"
64,2,"saltiness","bj"
64,3,"overpower","bj"
64,3,"combined","bj"
64,3,"flavor","bj"
64,3,"sweet","bj"
64,4,"agree","bj"
