doc_id,brand,X1,X2,y_dmm_5,y_kmeans_5,y_manual_5,y_dmm_10,y_kmeans_10
19401,breyers,-27.560783,-8.274822,3,0,3,0,1
19403,breyers,39.64616,-18.893517,2,1,4,0,3
19404,breyers,16.737228,19.373997,3,1,4,0,4
19405,breyers,-10.914359,-36.357365,3,0,4,0,1
19407,breyers,0.38540918,29.585775,3,4,0,3,8
19409,breyers,-13.997005,-22.043438,3,1,0,0,3
19410,breyers,15.769185,11.242215,3,0,4,0,1
19411,breyers,-19.750061,5.943809,3,1,0,7,4
19412,breyers,9.519692,-37.466843,3,3,4,0,7
19413,breyers,-12.64648,-13.1104965,1,1,0,2,3
19415,breyers,-36.683346,17.669243,0,2,0,7,6
19417,breyers,12.692489,-39.03103,3,1,0,0,4
19422,breyers,1.5990833,-4.346826,0,1,0,5,4
19423,breyers,-38.981625,-2.8776069,2,2,4,0,6
19425,breyers,-11.667534,-38.2138,2,0,1,6,3
19426,breyers,-0.5783454,30.242376,0,4,0,6,8
19428,breyers,11.872534,-36.598003,4,1,2,0,4
19429,breyers,12.344623,-37.02755,3,1,4,0,4
19431,breyers,39.868687,-18.920984,3,1,4,1,3
19432,breyers,11.9874735,-4.229124,1,1,0,4,4
19433,breyers,-22.913155,2.1702597,0,1,0,5,4
19434,breyers,13.894013,10.393885,2,0,3,4,1
19450,breyers,-9.402309,-5.3680663,3,1,2,8,2
19462,breyers,0.35654947,-27.88253,0,1,1,6,3
19472,breyers,-32.558384,19.496277,0,2,1,6,6
19474,breyers,8.120702,-5.82375,2,1,4,2,4
19475,breyers,28.285044,-24.359013,2,1,2,8,5
19476,breyers,12.728608,15.392826,4,0,0,9,1
19477,breyers,-23.16273,-21.087309,4,1,1,1,5
19479,breyers,-6.9418344,42.730152,0,4,0,4,8
19484,breyers,-21.866047,9.468322,0,0,0,6,1
19486,breyers,0.017914092,46.510902,1,4,0,4,8
19495,breyers,-16.834652,17.681047,0,4,1,6,3
19496,breyers,-24.285254,21.418732,4,1,0,9,4
19512,breyers,-46.99457,-4.3645873,0,1,0,6,4
19526,breyers,-28.081013,17.679178,0,1,1,6,4
19528,breyers,-17.84053,27.606714,0,4,0,6,8
19540,breyers,-21.195961,-14.027814,0,1,0,6,3
19544,breyers,-27.856327,12.357891,0,1,0,5,4
19554,breyers,-47.068558,-3.6571488,4,2,1,5,6
19555,breyers,-8.045627,-39.473454,0,0,0,6,1
19573,breyers,-40.097267,11.065487,0,2,0,6,6
19577,breyers,-5.6960664,28.44343,1,4,0,5,8
19583,breyers,2.631568,29.522673,0,4,0,5,8
19588,breyers,-27.293913,-18.209274,0,1,0,5,3
19592,breyers,15.224327,-21.46228,0,1,0,6,4
19594,breyers,28.381971,-19.956629,0,1,0,7,4
19604,breyers,-10.462078,-2.0437746,4,4,0,9,2
19620,breyers,-22.218876,34.73532,4,4,4,9,9
19625,breyers,-14.755783,36.262833,2,4,0,4,8
19627,breyers,-6.9847913,-4.74217,0,0,3,2,2
19628,breyers,-12.1131315,-30.718178,0,1,0,5,3
19631,breyers,-2.260268,36.272484,1,4,0,4,8
19632,breyers,32.73026,8.973221,0,1,0,6,3
19640,breyers,27.336811,-22.634178,3,1,0,1,4
19649,breyers,0.3184796,-34.72344,2,1,3,8,3
19650,breyers,-8.406652,41.177406,2,4,0,8,8
19651,breyers,0.9390495,19.546705,2,4,0,8,8
19652,breyers,24.908298,-5.9807124,0,1,4,6,4
19653,breyers,-38.387165,1.9968532,2,2,4,8,6
